"binomial","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5"
"Acomys cilicicus",-0.468521530638136,1.54905295855366,-1.23926738103778,-0.797344280219207,0.0962108232826068
"Acomys cineraceus",-0.412430706472697,0.659148611774399,0.356584860314864,-1.57838285103254,0.256215828762266
"Acomys dimidiatus",-0.217709559693278,0.483290284763269,0.92086474369461,-1.79944371708124,0.437803532787059
"Acomys ignitus",-0.544002943057304,1.25555991083187,-0.741369445142769,-1.18077076580376,-0.00180815283920934
"Acomys johannis",-0.38532881891904,0.983038272088223,-0.272375879582441,-1.15624921297344,0.30799993103257
"Acomys kempi",-0.571800022252678,1.24434994152337,-0.748171268998028,-1.19642488510005,-0.0304938580831602
"Acomys louisae",-0.754424379210203,1.36838226665508,0.0128192592613115,-1.11452355621945,-0.197439163829415
"Acomys minous",-0.238239039819023,1.37886797305146,-0.66655035366537,-1.00857768810123,0.313730510085942
"Acomys mullah",-0.341767854456713,1.33711700970469,-0.691883402370231,-1.06688066315668,0.206892052704188
"Acomys nesiotes",-0.479363000895231,1.53882599548399,-1.24789766243684,-0.80999183541046,0.084470633850952
"Acomys percivali",-0.516942858469775,1.06772609599767,-0.335295685649239,-1.42361000305129,0.0109916689250891
"Acomys russatus",-0.631245063477178,1.10283946466319,-1.18798354578121,-0.342730023329735,0.379780023486441
"Acomys seurati",-0.4780723030029,1.14299190299357,-0.69587947283071,-0.95190224466253,0.227310034541729
"Acomys spinosissimus",-0.573031886100626,1.35848344505422,-0.631386029344965,-1.06929162399566,-0.0212243639392303
"Acomys subspinosus",-0.58034807335818,1.25485867730631,-0.735999813562137,-1.18568196117048,-0.0380361342990835
"Acomys wilsoni",-0.525376731774674,0.976038946968618,-0.4276011167228,-1.52685884096119,-0.00585115105699427
"Aconaemys fuscus",0.773972164513671,1.65096538373473,-0.285783742227801,-0.441091966161598,-0.584430099676287
"Aconaemys porteri",0.73073357549162,1.6335281827801,-0.296364036085671,-0.465442079567209,-0.62905095394414
"Aconaemys sagei",0.711557973776738,1.56398934995727,-0.364146814282432,-0.545115356836241,-0.654480117041224
"Acridotheres albocinctus",-0.261470075243609,0.577554749576568,0.429986665683403,0.413687615688192,-0.061221276570289
"Acridotheres burmannicus",-0.70003113382429,-0.145774331467181,0.0380659119999792,0.0104353261015377,-0.147915194174843
